RewardMagnitude,Time,UniqueID,DA,Subj,Date,channel,drug
2,4.1,R29_20130301_0_LY,-0.147931526,R29,20130301,0,LY
2,4.1,R34_20130227_0_LY,-0.02823225,R34,20130227,0,LY
2,4.1,R52_20130913_0_LY,0.005507787,R52,20130913,0,LY
2,4.1,R54_20140617_0_LY,-0.023546917,R54,20140617,0,LY
2,4.1,R56_20140617_0_LY,-0.294828673,R56,20140617,0,LY
2,4.1,R57_20140620_0_LY,0.522974622,R57,20140620,0,LY
2,4.1,R58_20140618_0_LY,0.146161486,R58,20140618,0,LY
2,4.1,R69_20141209_0_LY,0.545753108,R69,20141209,0,LY
2,4.1,R72_20141210_0_LY,0.334641225,R72,20141210,0,LY
2,4.1,R29_20130301_1_LY,0.241905535,R29,20130301,1,LY
2,4.1,R32_20130227_1_LY,0.384990368,R32,20130227,1,LY
2,4.1,R34_20130227_1_LY,0.154679916,R34,20130227,1,LY
2,4.1,R52_20130913_1_LY,0.014511839,R52,20130913,1,LY
2,4.1,R54_20140617_1_LY,-0.200172012,R54,20140617,1,LY
2,4.1,R55_20140619_1_LY,0.522636943,R55,20140619,1,LY
2,4.1,R57_20140620_1_LY,0.654771488,R57,20140620,1,LY
2,4.1,R69_20141209_1_LY,0.351812078,R69,20141209,1,LY
2,4.1,R72_20141210_1_LY,0.186625702,R72,20141210,1,LY
2,4.199999999999999,R29_20130227_0_SAL,-0.052124805,R29,20130227,0,SAL
2,4.199999999999999,R34_20130301_0_SAL,-0.068059099,R34,20130301,0,SAL
2,4.199999999999999,R52_20130911_0_SAL,0.162148612,R52,20130911,0,SAL
2,4.199999999999999,R54_20140619_0_SAL,-0.086333957,R54,20140619,0,SAL
2,4.199999999999999,R56_20140619_0_SAL,-0.07089717,R56,20140619,0,SAL
2,4.199999999999999,R57_20140618_0_SAL,0.0013586,R57,20140618,0,SAL
2,4.199999999999999,R58_20140620_0_SAL,-0.036580314,R58,20140620,0,SAL
2,4.199999999999999,R69_20141211_0_SAL,0.518322243,R69,20141211,0,SAL
